,title,year,critic_score,people_score,type,genre,rating,original_language,box_office_(gross_usa),runtime,director,producer,writer,crew,original_language,Origin/Ethnicity,color
10,War for the Planet of the Apes,2017,94,84.0,Action & Adventure,"sci fi, adventure, action",PG-13 (Sequences of Sci-Fi Violence|Action|Some Disturbing Images|Thematic Elements),English,$146.8M,2h 22m,Matt Reeves,"['Peter Chernin', ' Dylan Clark', ' Rick Jaffa', ' Amanda Silver']","['Matt Reeves', ' Mark Bomback']","['Andy Serkis', ' Woody Harrelson', ' Steve Zahn', ' Karin Konoval', ' Terry Notary', ' Amiah Miller', ' Judy Greer', ' Max Lloyd-Jones', ' Devyn Dalton', ' Toby Kebbell', ' Matt Reeves', ' Matt Reeves', ' Mark Bomback', ' Peter Chernin', ' Dylan Clark', ' Rick Jaffa', ' Amanda Silver', ' Mark Bomback', ' Mary McLaglen', ' Michael Seresin']",English,American,red
11,Spider-Man: Homecoming,2017,92,87.0,Action & Adventure,"adventure, fantasy, action, comedy",PG-13 (Sci-Fi Action Violence|Brief Suggestive Comments|Some Language),English,$334.4M,2h 13m,Jon Watts,"['Kevin Feige', ' Amy Pascal']","['Jonathan Goldstein', ' John Francis Daley', ' Jon Watts', ' Christopher Ford', ' Chris McKenna', ' Erik Sommers']","['Tom Holland', ' Michael Keaton', ' Robert Downey Jr.', ' Marisa Tomei', ' Jon Favreau', ' Gwyneth Paltrow', ' Zendaya', ' Donald Glover', ' Jacob Batalon', ' Laura Harrier', ' Jon Watts', ' Jonathan Goldstein', ' John Francis Daley', ' Jon Watts', ' Christopher Ford', ' Chris McKenna', ' Erik Sommers', ' Kevin Feige', ' Amy Pascal', "" Louis D'Esposito""]",English,American,red
12,Baby Driver,2017,92,86.0,Action & Adventure,"mystery and thriller, action",R (Violence|Language Throughout),English,$107.8M,1h 53m,Edgar Wright,"['Nira Park', ' Tim Bevan', ' Eric Fellner']",['Edgar Wright'],"['Ansel Elgort', ' Kevin Spacey', ' Lily James', ' Jon Bernthal', ' Jon Hamm', ' Jamie Foxx', ' Eiza González', ' Flea', ' Sky Ferreira', ' Lanny Joon', ' Edgar Wright', ' Edgar Wright', ' Nira Park', ' Tim Bevan', ' Eric Fellner', ' Edgar Wright', ' Rachael Prior', ' James Biddle', ' Adam Merims', ' Liza Chasin']",English,American,red
13,Seven Samurai,1954,100,97.0,Action & Adventure,action,,Japanese,$271.7K,3h 28m,Akira Kurosawa,['Sojiro Motoki'],"['Shinobu Hashimoto', ' Akira Kurosawa', ' Hideo Oguni']","['Toshirô Mifune', ' Takashi Shimura', ' Yoshio Inaba', ' Seiji Miyaguchi', ' Minoru Chiaki', ' Isao Kimura', ' Kamatari Fujiwara', ' Yoshio Tsuchiya', ' Akira Kurosawa', ' Shinobu Hashimoto', ' Akira Kurosawa', ' Hideo Oguni', ' Sojiro Motoki', ' Fumio Hayasaka', ' Asakazu Nakai', ' Akira Kurosawa']",Japanese,Japanese,red
14,Metropolis,1927,97,92.0,Action & Adventure,"drama, sci fi",,,$1.2M,2h 3m,Fritz Lang,['Erich Pommer'],"['Fritz Lang', ' Thea von Harbou']","['Brigitte Helm', ' Alfred Abel', ' Rudolf Klein-Rogge', ' Fritz Rasp', ' Theodor Loos', ' Erwin Biswanger', ' Heinrich George', ' Olaf Storm', ' Fritz Lang', ' Fritz Lang', ' Thea von Harbou', ' Thea von Harbou', ' Erich Pommer', ' Tawd Beckman', ' Gottfried Huppertz', ' Karl Freund', ' Otto Hunte']",,Japanese,red
15,Jaws,1975,98,90.0,Action & Adventure,"mystery and thriller, adventure, horror",PG,English,$260.9M,2h 4m,Steven Spielberg,"['David Brown', ' Richard D. Zanuck']","['Howard Sackler', ' John Milius', ' Robert Shaw']","['Roy Scheider', ' Robert Shaw', ' Richard Dreyfuss', ' Lorraine Gary', ' Murray Hamilton', ' Carl Gottlieb', ' Jeffrey C. Kramer', ' Susan Backlinie', ' Jonathan Filley', ' Ted Grossman', ' Steven Spielberg', ' Peter Benchley', ' Peter Benchley', ' Carl Gottlieb', ' Howard Sackler', ' John Milius', ' Robert Shaw', ' Richard D. Zanuck']",English,American,red
16,Up,2009,98,90.0,Action & Adventure,"adventure, kids and family, animation, comedy",PG (Some Peril|Action),English,,1h 29m,"Pete Docter, Bob Peterson",['Jonas Rivera'],"['Bob Peterson', ' Pete Docter']","['Ed Asner', ' Christopher Plummer', ' Bob Peterson', ' Delroy Lindo', ' John Ratzenberger', ' Pete Docter', ' Bob Peterson', ' Bob Peterson', ' Pete Docter', ' Jonas Rivera', ' John Lasseter', ' Andrew Stanton', ' Michael Giacchino', ' Patrick Lin']",English,American,red
17,The Dark Knight,2008,94,94.0,Action & Adventure,"fantasy, action, adventure",PG-13 (Some Menace|Intense Sequences of Violence),English,$2.0M,2h 32m,Christopher Nolan,"['Emma Thomas', ' Charles Roven', ' Christopher Nolan']","['Jonathan Nolan', ' Christopher Nolan']","['Christian Bale', ' Heath Ledger', ' Aaron Eckhart', ' Michael Caine', ' Maggie Gyllenhaal', ' Gary Oldman', ' Morgan Freeman', ' Ron Dean', ' Cillian Murphy', ' Christopher Nolan', ' Jonathan Nolan', ' Christopher Nolan', ' Emma Thomas', ' Charles Roven', ' Christopher Nolan', ' Kevin De La Noy', ' Benjamin Melniker', ' Michael E. Uslan', ' Thomas Tull']",English,British,red
18,The Treasure of the Sierra Madre,1948,100,93.0,Action & Adventure,"western, adventure, drama",,English,,2h 4m,John Huston,['Henry Blanke'],,"['Humphrey Bogart', ' Walter Huston', ' Tim Holt', ' Bruce Bennett', ' Barton MacLane', ' Alfonso Bedoya', ' John Huston', ' Jack L. Warner', ' Henry Blanke', ' Buddy Kaye', ' Ted D. McCord', ' Owen Marks', ' Richard Maybery', ' B. Traven']",English,American,red
19,Blade Runner 2049,2017,88,81.0,Action & Adventure,"mystery and thriller, sci fi",R (Nudity|Language|Some Sexuality|Violence),English,$91.5M,2h 44m,Denis Villeneuve,"['Andrew A. Kosove', ' Broderick Johnson', ' Bud Yorkin', ' Cynthia Sikes Yorkin']","['Hampton Fancher', ' Michael Green']","['Ryan Gosling', ' Harrison Ford', ' Ana de Armas', ' Sylvia Hoeks', ' Robin Wright', ' Jared Leto', ' Mackenzie Davis', ' Carla Juri', ' Lennie James', ' Dave Bautista', ' Denis Villeneuve', ' Hampton Fancher', ' Michael Green', ' Andrew A. Kosove', ' Broderick Johnson', ' Bud Yorkin', ' Cynthia Sikes Yorkin', ' Ridley Scott', ' Bill Carraro', ' Tim Gamble']",English,American,red
