,title,year,critic_score,people_score,type,genre,rating,original_language,box_office_(gross_usa),runtime,director,producer,writer,crew,original_language,Origin/Ethnicity,color
95,Fantastic Mr. Fox,2009,93,85.0,Animation,"kids and family, comedy, adventure, animation",PG (Slang Humor|Action|Smoking),English,$21.0M,1h 28m,Wes Anderson,"['Wes Anderson', ' Scott Rudin', ' Allison Abbate', ' Jeremy Dawson']","['Wes Anderson', ' Noah Baumbach']","['George Clooney', ' Meryl Streep', ' Jason Schwartzman', ' Bill Murray', ' Wally Wolodarsky', ' Eric Anderson', ' Michael Gambon', ' Willem Dafoe', ' Owen Wilson', ' Jarvis Cocker', ' Wes Anderson', ' Wes Anderson', ' Noah Baumbach', ' Wes Anderson', ' Scott Rudin', ' Allison Abbate', ' Jeremy Dawson', ' Steven Rales', ' Arnon Milchan', ' Mark Gustafson']",English,American,red
96,Kiki's Delivery Service,1989,98,88.0,Animation,"kids and family, adventure, anime",G,Japanese,,1h 43m,Hayao Miyazaki,['Jane Schonberger'],"['Jack Fletcher', ' Eiko Kadono', ' Hayao Miyazaki', ' John Semper']","['Kirsten Dunst', ' Phil Hartman', ' Debbie Reynolds', ' Janeane Garofalo', ' Matthew Lawrence', ' Hayao Miyazaki', ' Hayao Miyazaki', ' John Semper', ' Jane Schonberger', ' Jane Schonberger', ' Morihisa Takagi', ' Yasuyoshi Tokuma', ' Mikihiko Tsuzuki']",Japanese,Japanese,red
97,Aladdin,1992,95,92.0,Animation,"musical, comedy, fantasy, animation, kids and family, adventure",G,English,$217.0M,1h 30m,"Ron Clements, John Musker","['Ron Clements', ' John Musker']","['Ron Clements', ' Ted Elliott', ' John Musker', ' Terry Rossio']","['Scott Weinger', ' Robin Williams', ' Linda Larkin', ' Jonathan Freeman', ' Frank Welker', ' Gilbert Gottfried', ' Douglas Seale', ' Bruce Adler', ' Brad Kane', ' Lea Salonga', ' Ron Clements', ' John Musker', ' Roger Allers', ' Ron Clements', ' Ted Elliott', ' John Musker', ' Terry Rossio', ' Ron Clements', ' John Musker', ' Donald W. Ernst']",English,American,red
98,Frozen,2013,90,85.0,Animation,"musical, animation, comedy, adventure, fantasy, kids and family",PG (Some Action|Mild Rude Humor),English,$401.0M,1h 42m,"Chris Buck, Jennifer Lee",['Peter Del Vecho'],['Jennifer Lee'],"['Kristen Bell', ' Idina Menzel', ' Jonathan Groff', ' Josh Gad', ' Santino Fontana', ' Alan Tudyk', ' Chris Buck', ' Peter Del Vecho', ' John Lasseter', ' Christophe Beck', ' Kristen Anderson-Lopez', ' Robert Lopez', ' David Womersley']",English,American,red
99,How to Train Your Dragon 2,2014,92,90.0,Animation,"comedy, fantasy, animation, kids and family, adventure",PG (Some Mild Rude Humor|Adventure Action),English,$177.0M,1h 42m,Dean DeBlois,['Bonnie Arnold'],['Dean DeBlois'],"['Jay Baruchel', ' Cate Blanchett', ' Gerard Butler', ' Craig Ferguson', ' America Ferrera', ' Jonah Hill', ' Christopher Mintz-Plasse', ' T.J. Miller', ' Kristen Wiig', ' Djimon Hounsou', ' Dean DeBlois', ' Dean DeBlois', ' Bonnie Arnold', ' Dean DeBlois', ' Chris Sanders', ' John K. Carr', ' Zhaoping Wei', ' Leslee Feldman']",English,American,red
100,Coraline,2009,90,73.0,Animation,"kids and family, animation, fantasy",PG (Some Language|Suggestive Humor|Scary Images|Thematic Elements),English,$75.3M,1h 40m,Henry Selick,"['Bill Mechanic', ' Claire Jennings', ' Henry Selick', ' Mary Sandell']",['Henry Selick'],"['Dakota Fanning', ' Teri Hatcher', ' Jennifer Saunders', ' Dawn French', ' Keith David', ' John Hodgman', ' Robert Bailey Jr.', ' Ian McShane', ' Henry Selick', ' Henry Selick', ' Bill Mechanic', ' Claire Jennings', ' Henry Selick', ' Mary Sandell', ' Michael Zoumas', ' Christopher Murrie', ' Ronald Sanders']",English,American,red
101,Ghost in the Shell,1996,96,89.0,Animation,"sci fi, action, anime",,Japanese,,1h 25m,Mamoru Oshii,"['Mitsuhisa Ishikawa', ' Ken Iyadomi', ' Ken Matsumoto', ' Yoshimasa Mizuo']",['Kazunori Itô'],"['Richard George', ' Mimi Woods', ' William Frederick', ' Abe Lasser', ' Christopher Joyce', ' Mike Sorich', ' Ben Isaacson', ' Hank Smith', ' Mamoru Oshii', ' Andy Frain', ' Teruo Miyahara', ' Takashi Mogi', ' Mitsuhisa Ishikawa', ' Ken Iyadomi', ' Ken Matsumoto', ' Yoshimasa Mizuo', ' Kenji Kawai']",Japanese,American,red
102,The Breadwinner,2017,95,87.0,Animation,"drama, animation",PG-13 (Thematic Material|Some Violent Images),English,$302.9K,1h 34m,Nora Twomey,"['Angelina Jolie', ' Anthony Leo', ' Tomm Moore']","['Anita Doron', ' Deborah Ellis']","['Saara Chaudry', ' Laara Sadiq', ' Shaista Latif', ' Ali Badshah', ' Noorin Gulamgaus', ' Kawa Ada', ' Soma Chhaya', ' Ali Kazmi', ' Nora Twomey', ' Anita Doron', ' Karim Amer', ' Mimi Polk Gitlin', ' Jehane Noujaim', ' Gerry Shirren', ' Angelina Jolie', ' Tomm Moore']",English,Canadian,red
103,The Little Mermaid,1989,93,88.0,Animation,"kids and family, animation, fantasy",G,English,$109.9M,1h 22m,"Ron Clements, John Musker","['Howard Ashman', ' John Musker']","['Ron Clements', ' John Musker']","['Jodi Benson', ' Pat Carroll', ' Christopher Daniel Barnes', ' Rene Auberjonois', ' Hamilton Camp', ' Nancy Cartwright', ' Paddi Edwards', ' Gerrit Graham', ' Buddy Hackett', ' Anne Lockhart', ' Ron Clements', ' John Musker', ' Roger Allers', ' Ron Clements', ' John Musker', ' Howard Ashman', ' Maureen Donley', ' John Musker', ' Alan Menken', ' Robby Merkin']",English,American,red
104,Lady and the Tramp,1955,93,80.0,Animation,"kids and family, animation, fantasy",G,English,,1h 15m,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",['Walt Disney'],"['Ward Greene', ' Erdman Penner', ' Joe Rinaldi', ' Ralph Wright', ' Don DaGradi']","['Peggy Lee', ' Barbara Luddy', ' Bill Baucom', ' Stan Freberg', ' Verna Felton', ' George Givot', ' Dal McKennon', ' Clyde Geronimi', ' Wilfred Jackson', ' Hamilton Luske', ' Ward Greene', ' Erdman Penner', ' Joe Rinaldi', ' Ralph Wright', ' Don DaGradi', ' Walt Disney', ' Sonny Burke']",English,American,red
105,Big Hero 6,2014,89,91.0,Animation,"comedy, animation, sci fi, action, kids and family, adventure",PG (Some Rude Humor|Action and Peril|Thematic Elements),English,$222.5M,1h 42m,"Don Hall, Chris Williams",['Roy Conli'],"['Robert L. Baird', ' Daniel Gerson']","['Ryan Potter', ' Scott Adsit', ' T.J. Miller', ' Jamie Chung', ' Damon Wayans Jr.', ' Genesis Rodriguez', ' Daniel Henney', ' Maya Rudolph', ' James Cromwell', ' Alan Tudyk', ' Don Hall', ' Roy Conli', ' Robert L. Baird', ' Daniel Gerson', ' Henry Jackman', ' Rob Dressel', ' Jamie Sparer Roberts']",English,American,red
106,My Neighbor Totoro,1988,94,94.0,Animation,"fantasy, anime",G,Japanese,,1h 27m,Hayao Miyazaki,,['Hayao Miyazaki'],"['Elle Fanning', ' Dakota Fanning', ' Tim Daly', ' Lea Salonga', ' Frank Welker', ' Paul Butcher', ' Hayao Miyazaki', ' Hayao Miyazaki']",Japanese,Japanese,red
107,Princess Mononoke,1997,93,94.0,Animation,"adventure, fantasy, anime",PG-13 (Images of Violence and Gore),Japanese,,2h 13m,Hayao Miyazaki,['Toshio Suzuki'],"['Neil Gaiman', ' Hayao Miyazaki']","['Claire Danes', ' Billy Bob Thornton', ' Gillian Anderson', ' Billy Crudup', ' Minnie Driver', ' Jada Pinkett Smith', ' John DiMaggio', ' Hayao Miyazaki', ' Neil Gaiman', ' Hayao Miyazaki', ' Yasuyoshi Tokuma', ' Bob Weinstein', ' Toshio Suzuki', ' Joe Hisaishi', ' Atsushi Okui', ' Hayao Miyazaki', ' Takeshi Seyama']",Japanese,Japanese,red
108,Bambi,1942,90,73.0,Animation,"fantasy, kids and family, animation",G,English,$38.1M,1h 10m,David Hand,['Walt Disney'],['Larry Morey'],"['Hardie Albright', ' Stan Alexander', ' Peter Behn', ' Donnie Dunagan', ' Ann Gillis', ' Sterling Holloway', ' Cammie King', ' Fred Shields', ' Bobby Stewart', ' David Hand', ' Larry Morey', ' Walt Disney']",English,American,red
109,Arthur Christmas,2011,92,76.0,Animation,"kids and family, comedy, animation, other",PG (Some Mild Rude Humor),English,$46.4M,1h 40m,Sarah Smith,"['Peter Lord', ' David Sproxton', ' Carla Shelley', ' Steve Pegram']","['Peter Baynham', ' Sarah Smith']","['James McAvoy', ' Hugh Laurie', ' Bill Nighy', ' Jim Broadbent', ' Imelda Staunton', ' Marc Wootton', ' Laura Linney', ' Eva Longoria', ' Ramona Marquez', ' Peter Baynham', ' Peter Lord', ' David Sproxton', ' Carla Shelley', ' Steve Pegram', ' John Carnochan', ' Harry Gregson-Williams']",English,American,red
110,Antz,1998,92,52.0,Animation,"adventure, fantasy, animation, comedy, kids and family, romance",PG (Mild Language|Menacing Action),English,$90.7M,1h 27m,"Eric Darnell, Tim Johnson",['Brad Lewis'],"['Todd Alcott', ' Chris Weitz', ' Paul Weitz']","['Woody Allen', ' Sharon Stone', ' Gene Hackman', ' Sylvester Stallone', ' Christopher Walken', ' Danny Glover', ' Dan Aykroyd', ' Jane Curtin', ' Anne Bancroft', ' Jennifer Lopez', ' Eric Darnell', ' Chris Weitz', ' Paul Weitz', ' Penney Finkelman Cox', ' Brad Lewis', ' Sandra Rabins', ' Carl Rosendahl', ' Steven Spielberg']",English,American,orange
111,A Bug's Life,1998,92,73.0,Animation,"kids and family, comedy, adventure, animation",G,English,$162.8M,1h 36m,"John Lasseter, Andrew Stanton",,"['Don McEnery', ' Bob Shaw']","['Dave Foley', ' Kevin Spacey', ' Julia Louis-Dreyfus', ' Hayden Panettiere', ' Richard Kind', ' David Hyde Pierce', ' Joe Ranft', ' Denis Leary', ' Jonathan Harris', ' John Lasseter', ' Andrew Stanton', ' John Lasseter', ' Andrew Stanton', ' Joe Ranft', ' Don McEnery', ' Geefwee Boedoe', ' Jorgen Klubien']",English,American,red
112,Mary and Max,2009,95,92.0,Animation,"comedy, drama, animation",,English,,1h 32m,Adam Elliot,['Melanie Coombs'],['Adam Elliot'],"['Toni Collette', ' Philip Seymour Hoffman', ' Eric Bana', ' Barry Humphries', ' Bethany Whitmore', ' Ian ""Molly"" Meldrum', ' John Flaus', ' Adam Elliot', ' Adam Elliot', ' Iain Canning', ' Melanie Coombs', ' Mark Gooder', ' Paul Hardart', ' Gerald Thompson']",English,Australian,red
113,Bolt,2008,89,74.0,Animation,"adventure, animation, comedy, kids and family",PG (Peril|Mild Action),English,$114.1M,1h 36m,"Chris Williams, Byron Howard",['Clark Spencer'],"['Dan Fogelman', ' Chris Williams']","['John Travolta', ' Miley Cyrus', ' Susie Essman', ' Mark Walton', ' Malcolm McDowell', ' James Lipton', ' Greg Germann', ' Diedrich Bader', ' Byron Howard', ' Clark Spencer', ' John Lasseter', ' Dan Fogelman', ' Tim Mertens', ' Paul Felix']",English,American,red
114,Tangled,2010,89,87.0,Animation,"musical, comedy, fantasy, animation, kids and family, adventure",PG (Brief Mild Violence),English,$200.8M,1h 41m,"Nathan Greno, Byron Howard",['Roy Conli'],['Dan Fogelman'],"['Mandy Moore', ' Zachary Levi', ' Donna Murphy', ' Ron Perlman', ' M.C. Gainey', ' Jeffrey Tambor', ' Brad Garrett', ' Paul F. Tompkins', ' Richard Kiel', ' Nathan Greno', ' Byron Howard', ' Dan Fogelman', ' Roy Conli', ' John Lasseter', ' Glen Keane', ' Alan Menken', ' Glenn Slater']",English,American,red
115,Shrek 2,2004,89,69.0,Animation,"kids and family, comedy, fantasy, animation",PG (Some Crude Humor|A Brief Substance Reference|Some Suggestive Content),English,$436.5M,1h 32m,Andrew Adamson,"['Jeffrey Katzenberg', ' Aron Warner']","['J. David Stem', ' Joe Stillman', ' David N. Weiss']","['Mike Myers', ' Eddie Murphy', ' Cameron Diaz', ' Julie Andrews', ' Antonio Banderas', ' John Cleese', ' Rupert Everett', ' Jennifer Saunders', ' Larry King', ' Conrad Vernon', ' Andrew Adamson', ' Jeffrey Katzenberg', ' Aron Warner', ' William Steig', ' J. David Stem', ' Joe Stillman', ' David N. Weiss', ' Harry Gregson-Williams']",English,American,red
116,ParaNorman,2012,89,72.0,Animation,"comedy, fantasy, animation, kids and family, adventure",PG (Scary Action|Language|Scary Images|Some Rude Humor|Thematic Elements),English,,1h 36m,"Chris Butler, Sam Fell","['Arianne Sutner', ' Travis Knight']",['Chris Butler'],"['Kodi Smit-McPhee', ' Tucker Albrizzi', ' Anna Kendrick', ' Casey Affleck', ' Christopher Mintz-Plasse', ' Leslie Mann', ' Jeff Garlin', ' John Goodman', ' Elaine Stritch', ' Bernard Hill', ' Chris Butler', ' Sam Fell', ' Chris Butler', ' Arianne Sutner', ' Travis Knight', ' Jon Brion', ' Tristan Oliver', ' Christopher Murrie', ' Allison Jones', ' Nelson Lowry']",English,American,red
117,Frankenweenie,2012,87,70.0,Animation,"kids and family, comedy, animation",PG (Scary Images|Action|Thematic Elements),English,,1h 27m,Tim Burton,"['Tim Burton', ' Allison Abbate']",['John August'],"[""Catherine O'Hara"", ' Martin Short', ' Martin Landau', ' Charlie Tahan', ' Atticus Shaffer', ' Winona Ryder', ' Robert Capron', ' Conchata Ferrell', ' James Hiroyuki Liao', ' Tom Kenny', ' Tim Burton', ' John August', ' Tim Burton', ' Allison Abbate', ' Don Hahn', ' Peter Sorg', ' Chris Lebenzon', ' Danny Elfman', ' Rick Heinrichs']",English,American,red
118,James and the Giant Peach,1996,91,66.0,Animation,"kids and family, animation, fantasy",PG,English,$28.9M,1h 20m,Henry Selick,"['Tim Burton', ' Denise Di Novi']","['Karey Kirkpatrick', ' Jonathan Roberts', ' Steve Bloom']","['Paul Terry', ' Joanna Lumley', ' Miriam Margolyes', ' Pete Postlethwaite', ' Simon Callow', ' Richard Dreyfuss', ' Jane Leeves', ' Susan Sarandon', ' David Thewlis', ' J. Stephen Coyle', ' Henry Selick', ' Roald Dahl', ' Karey Kirkpatrick', ' Jonathan Roberts', ' Steve Bloom', ' Jake Eberts', ' Tim Burton', ' Denise Di Novi', ' Randy Newman']",English,American,red
119,Rango,2011,88,69.0,Animation,"kids and family, comedy, adventure, animation",PG (Language|Action|Rude Humor|Smoking),English,,1h 45m,Gore Verbinski,"['Gore Verbinski', ' Graham King', ' John B. Carls']",['John Logan'],"['Johnny Depp', ' Isla Fisher', ' Abigail Breslin', ' Ned Beatty', ' Alfred Molina', ' Bill Nighy', ' Stephen Root', ' Harry Dean Stanton', ' Timothy Olyphant', ' Ray Winstone', ' Gore Verbinski', ' John Logan', ' Gore Verbinski', ' Graham King', ' John B. Carls', ' Tim Headington', ' Mark ""Crash"" McCreery', ' Craig Wood']",English,American,red
120,Shrek,2001,88,90.0,Animation,"kids and family, comedy, fantasy, animation",PG (Some Crude Humor|Mild Language),English,$267.7M,1h 29m,"Andrew Adamson, Vicky Jenson","['Aron Warner', ' John H. Williams', ' Jeffrey Katzenberg']","['Ted Elliott', ' Terry Rossio']","['Mike Myers', ' Eddie Murphy', ' Cameron Diaz', ' John Lithgow', ' Peter Dennis', ' Clive Pearse', ' Jim Cummings', ' Bobby Block', ' Cody Cameron', ' Andrew Adamson', ' Vicky Jenson', ' Aron Warner', ' John H. Williams', ' Jeffrey Katzenberg', ' Penney Finkelman Cox', ' Sandra Rabins', ' William Steig', ' Ted Elliott', ' Terry Rossio']",English,American,red
121,The Wind Rises,2013,88,85.0,Animation,"drama, history, anime, biography",PG-13 (Some Disturbing Images|Smoking),Japanese,,2h 6m,"Hayao Miyazaki, Gary Rydstrom",['Toshio Suzuki'],"['Hayao Miyazaki', ' Mike Jones']","['Joseph Gordon-Levitt', ' John Krasinski', ' Emily Blunt', ' Martin Short', ' Stanley Tucci', ' Mandy Patinkin', ' Werner Herzog', ' William H. Macy', ' Mae Whitman', ' Jennifer Grey', ' Hayao Miyazaki', ' Gary Rydstrom', ' Hayao Miyazaki', ' Toshio Suzuki', ' Koji Hoshino', ' Frank Marshall']",Japanese,Japanese,red
122,Winnie the Pooh,2011,91,80.0,Animation,"kids and family, animation, adventure",G,English,,1h 9m,"Stephen J. Anderson, Don Hall",,"['Stephen J. Anderson', ' Clio Chiang', ' Don Dougherty', ' Don Hall', ' Kendelle Hoyer', ' Brian Kesinger', ' Nicole Mitchell', ' Jeremy Spears']","['Jim Cummings', ' Bud Luckey', ' Craig Ferguson', ' Jack Boulter', ' Travis Oates', ' Kristen Anderson-Lopez', ' Wyatt Dean Hall', ' Tom Kenny', ' Huell Howser', ' John Cleese', ' Stephen J. Anderson', ' Don Hall', ' Stephen J. Anderson', ' Clio Chiang', ' Don Dougherty', ' Don Hall', ' Kendelle Hoyer', ' Brian Kesinger', ' Nicole Mitchell', ' Jeremy Spears']",English,American,red
123,The Simpsons Movie,2007,87,77.0,Animation,"comedy, animation",PG-13 (Irreverent Humor Throughout),English,$183.1M,1h 26m,David Silverman,,"['James L. Brooks', ' Matt Groening', ' Al Jean', ' Mike Scully', ' Ian Maxtone-Graham', ' George Meyer', ' David Mirkin', ' Mike Reiss', ' Matt Selman']","['Dan Castellaneta', ' Julie Kavner', ' Nancy Cartwright', ' Yeardley Smith', ' Hank Azaria', ' Harry Shearer', ' Tress MacNeille', ' Albert Brooks', ' Karl Wiedergott', ' David Silverman', ' James L. Brooks', ' Matt Groening', ' Al Jean', ' Mike Scully', ' Ian Maxtone-Graham', ' George Meyer', ' David Mirkin', ' Mike Reiss', ' Matt Selman']",English,American,red
124,The Peanuts Movie,2015,87,76.0,Animation,"kids and family, comedy, adventure, animation",G,English,$130.1M,1h 29m,Steve Martino,"['Craig Schulz', ' Bryan Schulz', ' Cornelius Uliano', ' Paul Feig', ' Michael J. Travers']","['Craig Schulz', ' Bryan Schulz', ' Cornelius Uliano']","['Noah Schnapp', ' Hadley Belle Miller', ' Mariel Sheets', ' Alex Garfin', ' Francesca Angelucci Capaldi', ' Venus Omega Schultheis', ' Rebecca Bloom', ' Marleik ""Mar Mar"" Walker', ' Noah Johnston', ' Madisyn Shipman', ' Steve Martino', ' Craig Schulz', ' Bryan Schulz', ' Cornelius Uliano', ' Craig Schulz', ' Bryan Schulz', ' Cornelius Uliano', ' Paul Feig', ' Michael J. Travers', ' Renato Falcão']",English,American,red
125,Millennium Actress,2001,93,90.0,Animation,"drama, fantasy, anime",PG (Brief Mild Language|Violence|Thematic Elements),Japanese,$37.3K,1h 27m,Satoshi Kon,['Taro Maki'],"['Satoshi Kon', ' Sadayuki Murai']","['Miyoko Shôji', ' Mami Koyama', ' Fumiko Orikasa', ' Shôzô Iizuka', ' Masaya Onosaka', ' Shouko Tsuda', ' Hirotaka Suzuoki', ' Masatane Tsukayama', ' Satoshi Kon', ' Satoshi Kon', ' Sadayuki Murai', ' Taro Maki', ' Hisao Shirai', ' Nobutaka Ike', ' Masafumi Mima']",Japanese,Japanese,red
126,When Marnie Was There,2014,91,88.0,Animation,"anime, mystery and thriller, fantasy, drama, kids and family",PG (Thematic Elements|Smoking),Japanese,$314.3K,1h 43m,Hiromasa Yonebayashi,"['Yoshiaki Nishimura', ' Koji Hoshino']","['Hiromasa Yonebayashi', ' Keiko Niwa', ' Masashi Ando']","['Hailee Steinfeld', ' Kathy Bates', ' Mila Brener', ' Ellen Burstyn', ' Geena Davis', ' Grey Griffin', ' John C. Reilly', ' Raini Rodriguez', ' Kiernan Shipka', ' Vanessa Williams', ' Hiromasa Yonebayashi', ' Hiromasa Yonebayashi', ' Keiko Niwa', ' Masashi Ando', ' Yoshiaki Nishimura', ' Koji Hoshino', ' Takatsugu Muramatsu', ' Yohei Taneda']",Japanese,American,red
127,Kung Fu Panda,2008,87,83.0,Animation,"kids and family, comedy, adventure, animation",PG (Martial Arts Action),English,$143.5M,1h 31m,"John Stevenson, Mark Osborne",['Melissa Cobb'],"['Jonathan Aibel', ' Glenn Berger']","['Jack Black', ' Angelina Jolie', ' Jackie Chan', ' David Cross', ' Lucy Liu', ' Seth Rogen', ' Dustin Hoffman', ' Ian McShane', ' Michael Clarke Duncan', ' Randall Duk Kim', ' John Stevenson', ' Mark Osborne', ' Jonathan Aibel', ' Glenn Berger', ' Melissa Cobb', ' Bill Damaschke']",English,American,red
128,Sleeping Beauty,1959,89,80.0,Animation,"kids and family, animation, fantasy",G,English,$11.6M,1h 15m,Clyde Geronimi,['Walt Disney'],"['Erdman Penner', ' Joe Rinaldi', ' Winston Hibler', ' Bill Peet', ' Ted Sears', ' Ralph Wright', ' Milt Banta']","['Mary Costa', ' Bill Shirley', ' Eleanor Audley', ' Verna Felton', ' Barbara Luddy', ' Barbara Jo Allen', ' Taylor Holmes', ' Candy Candido', ' Clyde Geronimi', ' Charles Perrault', ' Erdman Penner', ' Joe Rinaldi', ' Winston Hibler', ' Ted Sears', ' Ralph Wright', ' Milt Banta', ' Walt Disney']",English,American,red
129,Wreck-It Ralph,2012,87,86.0,Animation,"kids and family, comedy, adventure, animation",PG (Some Rude Humor|Mild Action/Violence),English,$189.4M,1h 41m,Rich Moore,['Clark Spencer'],"['Phil Johnston', ' Jennifer Lee']","['John C. Reilly', ' Sarah Silverman', ' Jack McBrayer', ' Jane Lynch', ' Alan Tudyk', ' Mindy Kaling', ' Joe Lo Truglio', "" Ed O'Neill"", ' Dennis Haysbert', ' Adam Carolla', ' Rich Moore', ' Phil Johnston', ' Clark Spencer', ' John Lasseter', ' Henry Jackman', ' Mike Gabriel', ' Tim Mertens', ' Jamie Sparer Roberts']",English,American,red
130,Kung Fu Panda 3,2016,87,78.0,Animation,"comedy, adventure, animation, kids and family",PG (Some Mild Rude Humor|Martial Arts Action),English,$143.5M,1h 35m,"Jennifer Yuh Nelson, Alessandro Carloni",['Melissa Cobb'],"['Jonathan Aibel', ' Glenn Berger']","['Jack Black', ' Bryan Cranston', ' Dustin Hoffman', ' Angelina Jolie', ' J.K. Simmons', ' Jackie Chan', ' Seth Rogen', ' Lucy Liu', ' David Cross', ' Kate Hudson', ' Jennifer Yuh Nelson', ' Alessandro Carloni', ' Jonathan Aibel', ' Glenn Berger', ' Melissa Cobb', ' Mike Mitchell', ' Guillermo del Toro', ' Raymond Zibach']",English,American,red
131,The Illusionist,2010,90,79.0,Animation,"drama, animation",PG (Thematic Elements|Smoking),English,$2.2M,1h 30m,Sylvain Chomet,"['Sally Chomet', ' Bob Last']",['Sylvain Chomet'],"['Jean-Claude Donda', ' Eilidh Rankin', ' Duncan MacNeil', ' Raymond Mearns', ' James T. Muir', ' Tom Urie', ' Sylvain Chomet', ' Sylvain Chomet', ' Sally Chomet', ' Bob Last']",English,American,red
132,Parasite,2019,98,90.0,Art House & International,"comedy, drama, mystery and thriller",R (Sexual Content|Language|Some Violence),Korean,$53.4M,2h 12m,Bong Joon-ho,['Gwak Sin-ae'],['Han Jinwon'],"['Song Kang-ho', ' Yeo-jeong Jo', ' Woo-sik Choi', ' Lee Seon-gyun', ' Lee Jeong-eun', ' Jang Hyejin', ' Bong Joon-ho', ' Han Jinwon', ' Gyeong-pyo Hong', ' Choi Seyeon']",Korean,American,red
133,M,1931,100,95.0,Art House & International,"drama, mystery and thriller, crime",,German,$29.6K,1h 39m,Fritz Lang,['Seymour Nebenzal'],"['Egon Jacobson', ' Fritz Lang']","['Peter Lorre', ' Ellen Widmann', ' Inge Landgut', ' Otto Wernicke', ' Theodor Loos', ' Georg John', ' Ernst Stahl-Nachbaur', ' Fritz Lang', ' Egon Jacobson', ' Fritz Lang', ' Seymour Nebenzal', ' Edvard Grieg', ' Fritz Arno Wagner', ' Paul Falkenberg']",German,American,red
134,Rashomon,1950,98,93.0,Art House & International,drama,,Japanese,,1h 28m,Akira Kurosawa,['Minoru Jingo'],,"['Toshirô Mifune', ' Machiko Kyō', ' Takashi Shimura', ' Minoru Chiaki', ' Kichijiro Ueda', ' Noriko Honma', ' Akira Kurosawa', ' Ryûnosuke Akutagawa', ' Shinobu Hashimoto', ' Akira Kurosawa', ' Minoru Jingo', ' Masaichi Nagata', ' Fumio Hayasaka', ' Akira Kurosawa', ' So Matsuyama']",Japanese,Japanese,red
135,Tokyo Story,1953,100,93.0,Art House & International,drama,,Japanese,,2h 14m,Yasujirô Ozu,['Takeshi Yamamoto'],"['Kôgo Noda', ' Yasujirô Ozu']","['Chishu Ryu', ' Chieko Higashiyama', ' Setsuko Hara', ' Haruko Sugimura', ' Sô Yamamura', ' Kuniko Miyake', ' Kyôko Kagawa', ' Eijirô Tôno', ' Nobuo Nakamura', ' Shiro Osaka', ' Yasujirô Ozu', ' Yasujirô Ozu', ' Yuharu Atsuta', ' Yoshiyasu Hamamura', ' Tatsuo Hamada', ' Takeshi Yamamoto', ' Kojun Saito', ' Itsuo Takahashi', ' Taizo Saito']",Japanese,Japanese,red
136,Things to Come,2016,99,71.0,Art House & International,drama,PG-13 (Brief Language and Drug Use),French (France),$282.4K,1h 41m,Mia Hansen-Løve,['Charles Gillibert'],"['Mia Hansen-Løve', ' Mia Hansen-Løve']","['Isabelle Huppert', ' Roman Kolinka', ' Édith Scob', ' Sarah Le Picard', ' Solal Forte', ' Yves Heck', ' Marion Ploquin', ' Charles Gillibert', ' Denis Lenoir']",French (France),British,red
137,Tampopo,1985,100,93.0,Art House & International,comedy,,Japanese,$224.1K,1h 54m,Juzo Itami,"['Seigo Hosogoe', ' Juzo Itami', ' Yasushi Tamaoki']",['Juzo Itami'],"['Tsutomu Yamazaki', ' Nobuko Miyamoto', ' Ken Watanabe', ' Koji Yakusho', ' Rikiya Yasuoka', ' Kinzo Sakura', ' Shuji Otaki', ' Juzo Itami', ' Juzo Itami', ' Seigo Hosogoe', ' Juzo Itami', ' Yasushi Tamaoki', ' Masaki Tamura', ' Akira Suzuki', ' Kunihiko Murai']",Japanese,Japanese,red
138,Gloria,2013,99,65.0,Art House & International,"drama, romance",R (Graphic Nudity|Drug Use|Language|Sexual Content),Spanish,$2.1M,1h 49m,Sebastián Lelio,"['Juan de Dios Larraín', ' Pablo Larraín', ' Luis Collar']","['Sebastián Lelio', ' Gonzalo Maza']","['Diego Fontecilla', ' Coca Guazzini', ' Alejandro Goic', ' Liliana García', ' Luz Jiménez', ' Marcial Tagle', ' Fabiola Zamora', ' Gonzalo Maza', ' Juan Ignacio Correa', ' Mariane Hartard', ' Luis Collar']",Spanish,American,red
139,Ikiru,1952,98,97.0,Art House & International,"gay and lesbian, drama",,Japanese,$55.2K,2h 23m,Akira Kurosawa,['Sojiro Motoki'],,"['Takashi Shimura', ' Miki Odagiri', ' Kyôko Seki', ' Akira Kurosawa', ' Sojiro Motoki', ' Akira Kurosawa', ' Shinobu Hashimoto', ' Hideo Oguni', ' Asakazu Nakai', ' Fumio Yanoguchi', ' Fumio Hayasaka']",Japanese,Japanese,red
140,Amy,2015,95,87.0,Art House & International,"music, documentary, biography",R (Language|Drug Material),English,$8.4M,2h 8m,Asif Kapadia,['James Gay-Rees'],,"['Salaam Remi', ' Nick Shymansky', ' Blake Fielder-Civil', ' Mitch Winehouse', ' Mos Def', ' Asif Kapadia', ' James Gay-Rees', ' Antonio Pinto']",English,American,red
